2023/11/19 13:56:34 Text message: ANZ | Nickname: eseky | ID: 733375879480082526 | messageID: 1175766570111336458 | ChannelID: 1142514435836084226
2023/11/19 13:56:39 Text message: JAZ | Nickname: eseky | ID: 733375879480082526 | messageID: 1175766591309361162 | ChannelID: 1142514435836084226
2023/11/19 13:56:42 Text message: BVAZ | Nickname: eseky | ID: 733375879480082526 | messageID: 1175766591309361162 | ChannelID: 1142514435836084226
2023/11/19 13:56:56 Text message: CRaz | Nickname: eseky | ID: 733375879480082526 | messageID: 1175766591309361162 | ChannelID: 1142514435836084226
2023/11/19 13:57:21 Text message: AEZAKMI | Nickname: eseky | ID: 733375879480082526 | messageID: 1175766570111336458 | ChannelID: 1142514435836084226
2023/11/19 13:58:03 Text message: LOLZ | Nickname: eseky | ID: 733375879480082526 | messageID: 1175766570111336458 | ChannelID: 1142514435836084226
2023/11/19 13:59:38 Text message: BOTS | Nickname: eseky | ID: 733375879480082526 | messageID: 1175767344769933372 | ChannelID: 1142514435836084226
2023/11/19 13:59:41 Text message: CS | Nickname: eseky | ID: 733375879480082526 | messageID: 1175767344769933372 | ChannelID: 1142514435836084226
2023/11/19 14:14:37 Text message:  | Nickname: Gachi | ID: 1160175895475138611 | messageID: 1175771113863794848 | ChannelID: 1175770141984837675
2023/11/19 15:53:32 Text message: Lala | Nickname: eseky | ID: 733375879480082526 | messageID: 1175796008366653501 | ChannelID: 1142514435836084226
2023/11/19 15:53:40 Text message: 123 | Nickname: eseky | ID: 733375879480082526 | messageID: 1175796008366653501 | ChannelID: 1142514435836084226
2023/11/19 15:55:10 Text message: Test | Nickname: eseky | ID: 733375879480082526 | messageID: 1175796419924336730 | ChannelID: 1142514435836084226
2023/11/19 15:55:14 Text message: TestT | Nickname: eseky | ID: 733375879480082526 | messageID: 1175796419924336730 | ChannelID: 1142514435836084226
