2023/11/24 18:33:20 Привіт, цей бот був написаний ручками 𝕙𝕥𝕥𝕡𝕤://𝕥.𝕞𝕖/𝔼𝕤𝕖𝕜𝕪𝕚𝕝 ♥
2023/11/24 18:58:32 Text message: Падла де сейв | Nickname: eseky | ID: 733375879480082526 | messageID: 1177654499054194792 | ChannelID: 1142514435836084226
2023/11/24 18:58:41 Text message: 333 | Nickname: eseky | ID: 733375879480082526 | messageID: 1177654538740695151 | ChannelID: 1142514435836084226
2023/11/24 18:59:09 Text message: 22 | Nickname: eseky | ID: 733375879480082526 | messageID: 1177654657976373379 | ChannelID: 1142514435836084226
2023/11/24 18:59:13 Text message: dsa | Nickname: eseky | ID: 733375879480082526 | messageID: 1177654674460004454 | ChannelID: 1142514435836084226
2023/11/24 18:59:15 Text message: ss | Nickname: eseky | ID: 733375879480082526 | messageID: 1177654679786770503 | ChannelID: 1142514435836084226
2023/11/24 18:59:59 Text message: 33 | Nickname: eseky | ID: 733375879480082526 | messageID: 1177654867209244812 | ChannelID: 1142514435836084226
2023/11/24 19:00:01 Text message: 33 | Nickname: eseky | ID: 733375879480082526 | messageID: 1177654875035799634 | ChannelID: 1142514435836084226
2023/11/24 19:00:02 Text message: 33 | Nickname: eseky | ID: 733375879480082526 | messageID: 1177654878173135000 | ChannelID: 1142514435836084226
2023/11/24 19:00:03 Text message: 333 | Nickname: eseky | ID: 733375879480082526 | messageID: 1177654882698789004 | ChannelID: 1142514435836084226
2023/11/24 19:00:04 Text message: sad | Nickname: eseky | ID: 733375879480082526 | messageID: 1177654887908126720 | ChannelID: 1142514435836084226
2023/11/24 19:00:37 Text message: sad | Nickname: eseky | ID: 733375879480082526 | messageID: 1177655024176869487 | ChannelID: 1142514435836084226
2023/11/24 19:00:38 Text message: 32 | Nickname: eseky | ID: 733375879480082526 | messageID: 1177655030355071016 | ChannelID: 1142514435836084226
2023/11/24 19:00:39 Text message: 4 | Nickname: eseky | ID: 733375879480082526 | messageID: 1177655035107221536 | ChannelID: 1142514435836084226
2023/11/24 19:02:51 Text message: sad | Nickname: eseky | ID: 733375879480082526 | messageID: 1177655588235247706 | ChannelID: 1142514435836084226
2023/11/24 19:03:17 Text message: Aloo | Nickname: eseky | ID: 733375879480082526 | messageID: 1177655694170804347 | ChannelID: 1142514435836084226
2023/11/24 19:03:25 Text message: Alo | Nickname: eseky | ID: 733375879480082526 | messageID: 1177655728958353532 | ChannelID: 1142514435836084226
2023/11/24 19:03:47 Text message: Alo | Nickname: eseky | ID: 733375879480082526 | messageID: 1177655821623119942 | ChannelID: 1142514435836084226
2023/11/24 19:04:01 Text message: Lox | Nickname: eseky | ID: 733375879480082526 | messageID: 1177655880662143036 | ChannelID: 1142514435836084226
2023/11/24 19:09:28 Text message: Lox | Nickname: eseky | ID: 733375879480082526 | messageID: 1177657251658473603 | ChannelID: 1142514435836084226
2023/11/24 19:09:38 Text message: Lo | Nickname: eseky | ID: 733375879480082526 | messageID: 1177657296050995300 | ChannelID: 1142514435836084226
2023/11/24 19:11:09 Text message: Lo | Nickname: eseky | ID: 733375879480082526 | messageID: 1177657677837504613 | ChannelID: 1142514435836084226
2023/11/24 19:11:13 Text message: lo | Nickname: eseky | ID: 733375879480082526 | messageID: 1177657692840542238 | ChannelID: 1142514435836084226
